coverage_id,scale,category,row_name,window_name,achieved_qps,error_rate,latency_p95_ms,sample_count,source_stage,source_artifact,method
50.management.rolling_restart_primary_safe,50,management,rolling_restart_primary_safe,post_recovery,15.429006,0.0,74.115042,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_primary_safe,50,management,rolling_restart_primary_safe,pre_event,17.374286,0.0,59.484488,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_primary_safe,50,management,rolling_restart_primary_safe,recovery,15.522156,0.0,68.605414,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_replica_first,50,management,rolling_restart_replica_first,all_run,0.211136,0.0,82.537054,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_replica_first,50,management,rolling_restart_replica_first,baseline,14.260063,0.0,78.163909,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_replica_first,50,management,rolling_restart_replica_first,event,0.042738,0.0,70.611477,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_replica_first,50,management,rolling_restart_replica_first,post_recovery,15.318505,0.0,70.535391,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_replica_first,50,management,rolling_restart_replica_first,pre_event,13.886803,0.0,84.111375,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_replica_first,50,management,rolling_restart_replica_first,recovery,13.269362,0.0,81.864139,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.az_stop,100,fault,az_stop,event,533.333,0.0,2.809,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.fault_period_workload_impact,100,fault,fault_period_workload_impact,event,347.826,0.0,7.809,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.majority_partition,100,fault,majority_partition,event,0.0,1.0,0.0,12,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.minority_partition,100,fault,minority_partition,event,0.0,1.0,0.0,12,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.network_delay,100,fault,network_delay,event,6.227,0.0,164.014,12,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.network_flap,100,fault,network_flap,event,380.952,0.333333,4.592,12,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.network_loss,100,fault,network_loss,event,272.727,0.5,5.454,12,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.network_partition,100,fault,network_partition,event,0.0,1.0,0.0,12,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.node_host_stop,100,fault,node_host_stop,event,533.333,0.0,2.199,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.primary_stop_failover,100,fault,primary_stop_failover,event,500.0,0.0,2.479,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.primary_stop_failover,100,fault,primary_stop_failover,event,571.429,0.0,2.421,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.primary_stop_failover,100,fault,primary_stop_failover,event,11.091,0.25,2.278,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.replica_stop,100,fault,replica_stop,event,533.333,0.0,2.396,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.fault.split_brain_window_detection,100,fault,split_brain_window_detection,event,380.952,0.0,3.167,8,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/workload_windows.json,copy_workload_window_metrics
100.lifecycle.baseline_workload,100,lifecycle,baseline_workload,baseline,14.114236,0.0,76.908521,6,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
100.lifecycle.telemetry_collect,100,lifecycle,telemetry_collect,all_run,4.940348,0.0,75.723023,20,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
100.lifecycle.telemetry_collect,100,lifecycle,telemetry_collect,all_run,11.692414,0.0,85.754914,20,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
